"Date","Price","Open","High","Low","Vol.","Change %"
"10/15/2023","89.60","87.72","91.09","85.69","","1.98%"
"10/08/2023","87.86","85.05","87.98","82.48","","5.74%"
"10/01/2023","83.09","91.28","92.27","81.81","","-8.88%"
"09/24/2023","91.19","91.02","95.52","88.70","","0.29%"
"09/17/2023","90.93","91.06","93.08","88.98","","-0.24%"
"09/10/2023","91.15","87.53","91.30","86.86","","4.27%"
"09/03/2023","87.42","86.26","88.30","85.25","","1.29%"
"08/27/2023","86.31","80.42","86.32","79.69","","7.32%"
"08/20/2023","80.42","81.11","82.17","77.97","","-0.95%"
"08/13/2023","81.19","83.11","83.19","79.08","","-2.30%"
"08/06/2023","83.10","82.91","84.92","79.97","","0.53%"
"07/30/2023","82.66","80.58","83.27","78.75","","2.39%"
"07/23/2023","80.73","77.05","80.75","76.52","","5.02%"
"07/16/2023","76.87","75.00","77.36","73.86","","2.13%"
"07/09/2023","75.27","73.78","77.24","72.72","","2.23%"
"07/02/2023","73.63","70.33","73.84","69.64","","4.63%"
"06/25/2023","70.37","69.53","70.94","66.97","","1.38%"
"06/18/2023","69.41","71.53","72.58","67.25","","-2.91%"
"06/11/2023","71.49","70.19","71.88","66.81","","1.63%"
"06/04/2023","70.34","73.78","74.34","69.09","","-2.22%"
"05/28/2023","71.94","73.19","73.56","67.06","","-1.34%"
"05/21/2023","72.92","71.92","74.76","70.72","","1.38%"
"05/14/2023","71.93","70.08","73.56","69.42","","2.60%"
"05/07/2023","70.11","71.38","73.89","69.96","","-1.81%"
"04/30/2023","71.40","76.67","76.72","64.00","","-6.91%"
"04/23/2023","76.70","77.95","79.21","73.98","","-1.64%"
"04/16/2023","77.98","82.55","82.67","76.78","","-5.65%"
"04/09/2023","82.65","80.58","83.47","79.33","","2.85%"
"04/02/2023","80.36","80.67","81.67","78.89","","6.34%"
"03/26/2023","75.57","69.42","75.58","69.00","","9.36%"
"03/19/2023","69.10","66.11","71.50","65.69","","4.13%"
"03/12/2023","66.36","76.30","77.41","65.66","","-13.33%"
"03/05/2023","76.57","79.59","80.83","74.70","","-3.99%"
"02/26/2023","79.75","76.30","79.77","74.86","","4.51%"
"02/19/2023","76.31","76.52","77.55","73.64","","0.00%"
"02/12/2023","76.31","79.81","80.56","75.12","","-4.23%"
"02/05/2023","79.68","73.16","80.25","72.18","","9.00%"
"01/29/2023","73.10","79.91","80.36","73.02","","-7.78%"
"01/22/2023","79.27","81.61","82.44","78.92","","-2.77%"
"01/15/2023","81.53","80.25","82.45","78.28","","1.77%"
"01/08/2023","80.11","73.67","80.14","73.67","","8.62%"
"01/01/2023","73.75","80.59","81.55","72.52","","-8.44%"
"12/25/2022","80.55","80.08","81.26","76.89","","1.40%"
"12/18/2022","79.44","74.58","80.42","74.14","","6.30%"
"12/11/2022","74.73","71.97","77.95","70.44","","4.15%"
"12/04/2022","71.75","80.62","83.11","70.37","","-11.16%"
"11/27/2022","80.76","76.94","83.83","74.11","","4.68%"
"11/20/2022","77.15","80.99","83.08","75.97","","-4.82%"
"11/13/2022","81.06","89.20","90.11","78.39","","-9.16%"
"11/06/2022","89.23","91.53","94.27","85.11","","-4.26%"
"10/30/2022","93.20","89.14","93.46","86.01","","4.48%"
"10/23/2022","89.20","86.08","90.67","83.56","","3.53%"
"10/16/2022","86.16","85.75","88.22","82.42","","0.41%"
"10/09/2022","85.81","93.44","93.82","85.48","","-8.26%"
"10/02/2022","93.54","81.39","93.56","81.39","","16.88%"
"09/25/2022","80.03","79.67","83.31","76.66","","0.38%"
"09/18/2022","79.73","85.41","87.19","78.57","","-6.86%"
"09/11/2022","85.60","86.47","90.29","84.45","","-0.97%"
"09/04/2022","86.44","87.39","90.86","81.56","","-1.40%"
"08/28/2022","87.67","93.69","98.38","86.59","","-6.57%"
"08/21/2022","93.83","90.52","96.60","87.17","","3.53%"
"08/14/2022","90.63","92.39","92.69","86.42","","-2.19%"
"08/07/2022","92.66","89.46","95.92","88.30","","3.31%"
