"Date","Price","Open","High","Low","Vol.","Change %"
"10/15/2023","165.25","155.07","166.80","152.15","37.01K","6.68%"
"10/08/2023","154.90","146.05","155.65","143.70","113.02K","6.06%"
"10/01/2023","146.05","146.00","151.40","144.45","83.64K","-0.07%"
"09/24/2023","146.15","150.30","152.15","144.95","102.58K","-3.31%"
"09/17/2023","151.15","162.50","173.50","150.05","54.46K","-4.49%"
"09/10/2023","158.25","151.55","151.55","148.35","0.07K","8.21%"
"09/03/2023","146.25","147.95","152.50","147.95","0.03K","-3.11%"
"08/27/2023","150.95","152.95","153.70","149.85","0.14K","-0.53%"
"08/20/2023","151.75","147.60","154.25","146.10","11.79K","2.92%"
"08/13/2023","147.45","157.50","158.30","145.05","51.24K","-6.56%"
"08/06/2023","157.80","161.15","164.90","156.00","135.81K","-2.20%"
"07/30/2023","161.35","157.90","168.30","157.90","103.62K","2.18%"
"07/23/2023","157.90","161.15","165.45","157.35","83.59K","-2.44%"
"07/16/2023","161.85","158.05","162.10","152.30","37.71K","-0.06%"
"07/09/2023","161.95","163.55","163.65","158.00","0.13K","-0.52%"
"07/02/2023","162.80","165.20","165.30","159.25","0.06K","1.12%"
"06/25/2023","161.00","168.00","170.80","162.10","0.09K","-4.20%"
"06/18/2023","168.05","185.10","185.75","166.50","14.11K","-9.11%"
"06/11/2023","184.90","190.25","192.40","181.25","56.61K","-3.02%"
"06/04/2023","190.65","179.95","196.60","179.35","138.57K","5.74%"
"05/28/2023","180.30","180.05","187.80","175.55","101.96K","-0.72%"
"05/21/2023","181.60","191.00","193.75","180.30","97.36K","-5.42%"
"05/14/2023","192.00","192.45","196.55","186.20","23.75K","5.00%"
"05/07/2023","182.85","188.05","189.95","180.60","86.88K","-4.27%"
"04/30/2023","191.00","188.25","188.75","184.50","0.31K","0.61%"
"04/23/2023","189.85","196.35","196.85","189.10","0.09K","-2.24%"
"04/16/2023","194.20","194.00","207.45","193.50","26.14K","0.41%"
"04/09/2023","193.40","183.60","199.70","181.60","130.07K","5.34%"
"04/02/2023","183.60","171.30","184.55","171.25","94.29K","7.68%"
"03/26/2023","170.50","178.50","184.00","166.15","127.42K","-4.88%"
"03/19/2023","179.25","179.55","181.10","172.60","46.24K","1.50%"
"03/12/2023","176.60","177.75","182.20","171.05","90.73K","-3.10%"
"03/05/2023","182.25","180.80","182.35","177.00","0.10K","2.47%"
"02/26/2023","177.85","186.50","189.85","176.80","89.68K","-6.98%"
"02/19/2023","191.20","188.30","199.75","188.30","0.21K","1.32%"
"02/12/2023","188.70","174.50","189.85","174.00","47.21K","7.98%"
"02/05/2023","174.75","172.55","178.50","171.25","142.69K","1.13%"
"01/29/2023","172.80","168.00","184.20","167.05","151.89K","1.71%"
"01/22/2023","169.90","154.75","170.15","154.50","117.87K","9.75%"
"01/15/2023","154.80","150.50","157.55","148.50","65.60K","2.04%"
"01/08/2023","151.70","158.30","161.20","142.05","152.69K","-4.17%"
"01/01/2023","158.30","166.45","171.15","157.15","72.54K","-5.38%"
"12/25/2022","167.30","171.00","174.95","165.15","51.42K","-2.73%"
"12/18/2022","172.00","164.50","172.65","164.20","42.61K","4.78%"
"12/11/2022","164.15","156.30","169.60","155.00","0.15K","4.06%"
"12/04/2022","157.75","161.10","161.10","157.00","0.04K","-1.50%"
"11/27/2022","160.15","162.90","170.45","159.65","0.02K","-2.08%"
"11/20/2022","163.55","151.50","163.85","150.45","0.35K","8.10%"
"11/13/2022","151.30","168.70","168.70","150.60","42.12K","-9.99%"
"11/06/2022","168.10","171.45","173.25","160.45","120.77K","-4.35%"
"10/30/2022","175.75","171.70","183.40","170.00","106.37K","3.50%"
"10/23/2022","169.80","190.05","194.15","167.75","122.75K","-11.05%"
"10/16/2022","190.90","197.50","199.70","186.20","97.43K","-2.95%"
"10/09/2022","196.70","217.00","220.90","195.65","124.96K","-9.81%"
"10/02/2022","218.10","220.80","226.45","213.80","110.03K","-1.56%"
"09/25/2022","221.55","218.50","232.05","218.40","88.45K","0.50%"
"09/18/2022","220.45","224.70","226.40","217.25","35.43K","1.10%"
"09/11/2022","218.05","227.50","228.15","215.75","0.06K","-5.81%"
"09/04/2022","231.50","232.00","234.00","225.60","0.03K","-0.49%"
"08/28/2022","232.65","240.55","241.75","232.30","0.04K","-3.86%"
"08/21/2022","242.00","215.00","246.90","213.55","10.42K","12.06%"
"08/14/2022","215.95","226.05","226.25","212.60","44.38K","-4.70%"
"08/07/2022","226.60","210.40","227.70","207.50","105.92K","8.19%"
"07/31/2022","209.45","217.55","222.20","205.90","115.93K","-3.57%"
"07/24/2022","217.20","205.20","221.40","204.20","82.40K","5.08%"
"07/17/2022","206.70","216.30","218.60","205.50","47.15K","1.47%"
"07/10/2022","203.70","222.70","222.70","209.00","0.02K","-8.61%"
"07/03/2022","222.90","227.50","227.50","219.00","0.09K","-2.43%"
"06/26/2022","228.45","227.40","233.70","221.25","0.20K","0.82%"
"06/19/2022","226.60","227.90","239.00","226.00","15.70K","-0.46%"
"06/12/2022","227.65","226.80","234.50","218.90","59.61K","-0.55%"
"06/05/2022","228.90","233.60","240.45","227.80","140.15K","-1.51%"
"05/29/2022","232.40","228.30","242.00","223.85","94.69K","1.29%"
"05/22/2022","229.45","216.85","229.90","211.00","79.83K","6.30%"
"05/15/2022","215.85","224.00","224.00","213.20","29.08K","1.39%"
"05/08/2022","212.90","212.00","217.20","204.55","0.15K","0.61%"
"05/01/2022","211.60","217.70","221.05","211.45","0.12K","-4.92%"
"04/24/2022","222.55","226.40","226.40","214.65","0.33K","-2.09%"
"04/17/2022","227.30","224.30","229.65","217.25","28.91K","1.65%"
"04/10/2022","223.60","231.65","237.75","221.00","89.44K","-3.48%"
"04/03/2022","231.65","227.80","233.00","224.20","133.95K","1.42%"
"03/27/2022","228.40","221.75","230.40","212.50","83.49K","2.95%"
"03/20/2022","221.85","222.65","228.65","219.40","48.44K","0.70%"
"03/13/2022","220.30","220.50","224.05","211.30","0.05K","-1.19%"
"03/06/2022","222.95","226.35","233.40","223.20","0.02K","-0.54%"
"02/27/2022","224.15","239.50","239.50","223.40","0.04K","-6.62%"
"02/20/2022","240.05","246.70","252.75","238.95","0.16K","-2.75%"
"02/13/2022","246.85","251.25","254.55","244.30","49.90K","-1.91%"
"02/06/2022","251.65","241.60","260.45","239.55","172.50K","4.05%"
"01/30/2022","241.85","235.35","244.40","233.80","112.36K","2.52%"
"01/23/2022","235.90","237.45","241.35","230.30","105.79K","-0.84%"
"01/16/2022","237.90","239.00","245.00","236.00","69.73K","-0.73%"
"01/09/2022","239.65","238.40","244.90","232.55","96.64K","0.50%"
"01/02/2022","238.45","226.15","240.50","220.55","87.53K","5.46%"
"12/26/2021","226.10","229.55","229.90","224.10","43.74K","-2.21%"
"12/19/2021","231.20","225.55","235.35","224.00","37.59K","-1.99%"
"12/12/2021","235.90","237.15","238.10","236.00","0.39K","1.38%"
"12/05/2021","232.70","244.50","250.35","235.00","0.05K","-4.65%"
"11/28/2021","244.05","241.20","246.65","231.35","0.07K","0.08%"
"11/21/2021","243.85","231.40","247.55","228.85","0.27K","4.52%"
"11/14/2021","233.30","219.45","239.00","217.00","50.91K","6.19%"
"11/07/2021","219.70","203.60","221.50","198.70","172.15K","7.93%"
"10/31/2021","203.55","203.20","212.00","202.20","119.92K","-0.20%"
"10/24/2021","203.95","199.95","210.30","197.25","102.40K","2.05%"
"10/17/2021","199.85","201.75","208.65","198.40","93.23K","-1.75%"
"10/10/2021","203.40","199.35","215.15","196.70","84.76K","1.02%"
"10/03/2021","201.35","201.00","206.85","191.30","96.86K","-1.32%"
"09/26/2021","204.05","193.60","205.55","191.95","86.70K","4.99%"
"09/19/2021","194.35","183.05","195.30","182.35","61.00K","3.76%"
"09/12/2021","187.30","188.00","188.15","185.55","0.01K","0.92%"
"09/05/2021","185.60","185.50","185.50","185.50","0.00K","-2.60%"
"08/29/2021","190.55","190.55","196.50","190.55","0.04K","0.55%"
"08/22/2021","189.50","177.45","189.60","177.20","0.39K","6.31%"
"08/15/2021","178.25","181.95","186.25","175.05","68.52K","-2.46%"
"08/08/2021","182.75","174.80","187.35","172.45","144.83K","3.84%"
"08/01/2021","176.00","179.35","179.35","171.60","113.32K","-1.98%"
"07/25/2021","179.55","199.50","215.20","178.60","154.47K","-5.00%"
"07/18/2021","189.00","159.50","209.50","155.60","120.85K","17.25%"
"07/11/2021","161.20","153.40","157.75","152.10","0.07K","6.54%"
"07/04/2021","151.30","153.25","153.25","149.30","0.04K","-0.82%"
"06/27/2021","152.55","158.50","163.20","153.75","0.16K","-2.99%"
"06/20/2021","157.25","149.05","157.30","147.10","5.87K","4.90%"
"06/13/2021","149.90","156.60","156.60","147.05","76.33K","-4.80%"
"06/06/2021","157.45","161.80","163.60","155.85","155.82K","-2.60%"
"05/30/2021","161.65","162.00","166.75","155.20","104.24K","-0.43%"
"05/23/2021","162.35","149.60","163.15","147.45","98.52K","8.16%"
"05/16/2021","150.10","146.00","153.65","146.00","42.61K","4.06%"
"05/09/2021","144.25","153.00","153.00","147.05","0.06K","-5.29%"
"05/02/2021","152.30","139.90","152.00","138.85","0.04K","8.82%"
"04/25/2021","139.95","136.65","145.80","136.50","0.08K","2.27%"
"04/18/2021","136.85","129.40","138.50","129.05","32.80K","5.96%"
"04/11/2021","129.15","127.00","133.45","125.75","96.63K","1.49%"
"04/04/2021","127.25","121.40","128.85","120.55","126.19K","4.65%"
"03/28/2021","121.60","128.35","128.40","120.50","94.64K","-5.37%"
"03/21/2021","128.50","129.00","130.60","125.20","88.26K","2.43%"
"03/14/2021","125.45","132.60","134.40","128.60","0.02K","-5.29%"
"03/07/2021","132.45","129.55","131.90","128.80","0.01K","2.87%"
"02/28/2021","128.75","138.45","138.45","128.25","0.07K","-5.92%"
"02/21/2021","136.85","127.00","139.30","126.20","0.30K","7.33%"
"02/14/2021","127.50","121.40","127.75","121.15","31.77K","5.24%"
"02/07/2021","121.15","124.20","124.80","120.25","119.62K","-2.69%"
"01/31/2021","124.50","122.65","127.30","120.20","115.27K","1.26%"
"01/24/2021","122.95","123.00","126.90","122.05","87.31K","-0.89%"
"01/17/2021","124.05","126.00","128.75","122.85","71.33K","-3.20%"
"01/10/2021","128.15","122.30","131.75","118.75","114.02K","3.60%"
"01/03/2021","123.70","128.40","129.40","119.20","113.01K","-3.55%"
"12/27/2020","128.25","125.75","129.00","121.50","51.24K","1.83%"
"12/20/2020","125.95","124.25","127.65","120.40","53.39K","1.82%"
"12/13/2020","123.70","122.50","126.30","122.50","0.04K","3.86%"
"12/06/2020","119.10","114.75","119.00","114.75","0.01K","3.25%"
"11/29/2020","115.35","121.35","121.40","115.40","0.22K","-5.22%"
"11/22/2020","121.70","116.65","119.70","113.05","0.26K","5.37%"
"11/15/2020","115.50","109.95","121.20","109.80","41.03K","5.72%"
"11/08/2020","109.25","107.35","110.70","105.35","119.25K","2.15%"
"11/01/2020","106.95","103.90","108.00","102.15","108.98K","2.44%"
"10/25/2020","104.40","104.80","108.20","102.95","81.36K","-1.14%"
"10/18/2020","105.60","106.55","108.65","103.20","85.00K","-1.54%"
"10/11/2020","107.25","111.00","113.35","106.50","81.82K","-3.85%"
"10/04/2020","111.55","108.65","112.45","106.20","89.64K","2.39%"
"09/27/2020","108.95","113.80","114.75","104.90","114.47K","-4.14%"
